Title,Artist,Genres,Year,Album,Popularity,Mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Structure,Vincent Rayn,lo-fi jazzhop,2023,Structure,46,Relaxing,0.74,0.139,3,-9.259,0,0.176,0.709,0.935,0.103,0.385,88.004,audio_features,1bBFxXwsiAgbT5WAa55vua,spotify:track:1bBFxXwsiAgbT5WAa55vua,https://api.spotify.com/v1/tracks/1bBFxXwsiAgbT5WAa55vua,https://api.spotify.com/v1/audio-analysis/1bBFxXwsiAgbT5WAa55vua,97313,4
Midnight Sun,MLTSMTHNG,,2023,Midnight Sun,54,Relaxing,0.616,0.536,0,-9.727,1,0.0403,0.885,0.946,0.121,0.199,139.862,audio_features,1Cqj266QvBLBNNhRFfupDj,spotify:track:1Cqj266QvBLBNNhRFfupDj,https://api.spotify.com/v1/tracks/1Cqj266QvBLBNNhRFfupDj,https://api.spotify.com/v1/audio-analysis/1Cqj266QvBLBNNhRFfupDj,135214,4
nights go by,mutedvibes,,2023,nights go by,55,Relaxing,0.72,0.206,1,-12.998,1,0.0364,0.96,0.961,0.0934,0.203,120.062,audio_features,5TC2wrYzGhhr1wO7BSsGOA,spotify:track:5TC2wrYzGhhr1wO7BSsGOA,https://api.spotify.com/v1/tracks/5TC2wrYzGhhr1wO7BSsGOA,https://api.spotify.com/v1/audio-analysis/5TC2wrYzGhhr1wO7BSsGOA,188000,4
Whe Have A Time,Jmss,focus beats,2024,Whe Have A Time,44,Relaxing,0.741,0.263,6,-12.638,1,0.184,0.607,0.715,0.117,0.434,80.055,audio_features,7dEGhXuU4bvcU1KiIIBsB3,spotify:track:7dEGhXuU4bvcU1KiIIBsB3,https://api.spotify.com/v1/tracks/7dEGhXuU4bvcU1KiIIBsB3,https://api.spotify.com/v1/audio-analysis/7dEGhXuU4bvcU1KiIIBsB3,156028,4
End Of Day Bop,Noah Park,,2022,End Of Day Bop,46,Relaxing,0.741,0.314,11,-8.934,1,0.127,0.79,0.891,0.111,0.362,167.999,audio_features,2vVKIEmcqzNt3ZqBPP5EGV,spotify:track:2vVKIEmcqzNt3ZqBPP5EGV,https://api.spotify.com/v1/tracks/2vVKIEmcqzNt3ZqBPP5EGV,https://api.spotify.com/v1/audio-analysis/2vVKIEmcqzNt3ZqBPP5EGV,160000,4
Life of an NPC,PRGMAT,,2024,Life of an NPC,45,Relaxing,0.623,0.239,11,-14.486,0,0.0376,0.713,0.892,0.0864,0.357,80.056,audio_features,5fwCrVlpXABeuPopviPeGG,spotify:track:5fwCrVlpXABeuPopviPeGG,https://api.spotify.com/v1/tracks/5fwCrVlpXABeuPopviPeGG,https://api.spotify.com/v1/audio-analysis/5fwCrVlpXABeuPopviPeGG,171000,4
desktop,dirtybirdie,,2022,desktop,47,Relaxing,0.616,0.285,4,-13.151,0,0.0751,0.862,0.903,0.116,0.179,155.986,audio_features,2IjSMy4Fim9MpHoBnRLsz5,spotify:track:2IjSMy4Fim9MpHoBnRLsz5,https://api.spotify.com/v1/tracks/2IjSMy4Fim9MpHoBnRLsz5,https://api.spotify.com/v1/audio-analysis/2IjSMy4Fim9MpHoBnRLsz5,138462,4
Mist And Dust,JAKKARTA,lo-fi sleep,2024,Mist And Dust,52,Relaxing,0.523,0.0841,4,-23.277,1,0.0457,0.912,0.906,0.149,0.207,60.01,audio_features,5Js1urkjZ11PkD7cPwUGHb,spotify:track:5Js1urkjZ11PkD7cPwUGHb,https://api.spotify.com/v1/tracks/5Js1urkjZ11PkD7cPwUGHb,https://api.spotify.com/v1/audio-analysis/5Js1urkjZ11PkD7cPwUGHb,174000,4
Lizards and Lattes,Wruce Billis,,2023,Lizards and Lattes,48,Relaxing,0.538,0.268,1,-13.265,0,0.157,0.977,0.948,0.104,0.224,81.526,audio_features,3WF6J4P4ozwQ1hbQMzGtID,spotify:track:3WF6J4P4ozwQ1hbQMzGtID,https://api.spotify.com/v1/tracks/3WF6J4P4ozwQ1hbQMzGtID,https://api.spotify.com/v1/audio-analysis/3WF6J4P4ozwQ1hbQMzGtID,119118,4
i saw it clearly,herbstreit,,2024,i saw it clearly,52,Relaxing,0.472,0.183,5,-16.941,1,0.0754,0.985,0.931,0.13,0.15,75.675,audio_features,0yAp4yvq94VNRpK9V4tlZ4,spotify:track:0yAp4yvq94VNRpK9V4tlZ4,https://api.spotify.com/v1/tracks/0yAp4yvq94VNRpK9V4tlZ4,https://api.spotify.com/v1/audio-analysis/0yAp4yvq94VNRpK9V4tlZ4,150750,4
pen & paper,lil emilio,,2024,pen & paper,44,Relaxing,0.567,0.126,1,-17.643,0,0.0433,0.912,0.895,0.386,0.245,179.973,audio_features,6RkIex44IA8s7T8nyA0yqg,spotify:track:6RkIex44IA8s7T8nyA0yqg,https://api.spotify.com/v1/tracks/6RkIex44IA8s7T8nyA0yqg,https://api.spotify.com/v1/audio-analysis/6RkIex44IA8s7T8nyA0yqg,111333,4
